event_name,event_date,fight_url
UFC Fight Night: Gane vs. Tuivasa,09/03/2022,http://ufcstats.com/fight-details/acc9a109b00a99e1
UFC Fight Night: Gane vs. Tuivasa,09/03/2022,http://ufcstats.com/fight-details/cf9035f2fc2e232f
UFC Fight Night: Gane vs. Tuivasa,09/03/2022,http://ufcstats.com/fight-details/7bced112f3229b1b
UFC Fight Night: Gane vs. Tuivasa,09/03/2022,http://ufcstats.com/fight-details/fd47032108b85cf0
UFC Fight Night: Gane vs. Tuivasa,09/03/2022,http://ufcstats.com/fight-details/3e2f00991f511607
UFC Fight Night: Gane vs. Tuivasa,09/03/2022,http://ufcstats.com/fight-details/ca7fd237c16cec84
UFC Fight Night: Gane vs. Tuivasa,09/03/2022,http://ufcstats.com/fight-details/ce62a50e97d497f9
UFC 278: Usman vs. Edwards,08/20/2022,http://ufcstats.com/fight-details/f70c817388602681
UFC 278: Usman vs. Edwards,08/20/2022,http://ufcstats.com/fight-details/2de6652160cc7b9f
UFC 278: Usman vs. Edwards,08/20/2022,http://ufcstats.com/fight-details/2ac3ce1f62b3c4b9
UFC 278: Usman vs. Edwards,08/20/2022,http://ufcstats.com/fight-details/2cd9e3796be57a79
UFC 278: Usman vs. Edwards,08/20/2022,http://ufcstats.com/fight-details/5abcf9f282983acc
UFC 278: Usman vs. Edwards,08/20/2022,http://ufcstats.com/fight-details/e0b98f3cf4a7cc3b
UFC 278: Usman vs. Edwards,08/20/2022,http://ufcstats.com/fight-details/0cf7a4593fd44e59
UFC 278: Usman vs. Edwards,08/20/2022,http://ufcstats.com/fight-details/2ac9b3ccb43422d8
UFC 278: Usman vs. Edwards,08/20/2022,http://ufcstats.com/fight-details/4dac5258f22be059
UFC 278: Usman vs. Edwards,08/20/2022,http://ufcstats.com/fight-details/6b9f82291930bfec
UFC 278: Usman vs. Edwards,08/20/2022,http://ufcstats.com/fight-details/d497d74a0df9e35e
UFC 278: Usman vs. Edwards,08/20/2022,http://ufcstats.com/fight-details/06d6cde7479711ee
UFC Fight Night: Vera vs. Cruz,08/13/2022,http://ufcstats.com/fight-details/11cc331fa40ede63
UFC Fight Night: Vera vs. Cruz,08/13/2022,http://ufcstats.com/fight-details/efd7efba85092c6f
UFC Fight Night: Vera vs. Cruz,08/13/2022,http://ufcstats.com/fight-details/833d67f423315d18
